workerid,trial_no,stim,trial_id,Answer.time_in_minutes,rt,response,word_idx,response_correct,slide_number_in_experiment,word
0,,0,,21.522866666666665,,Jennifer,,,bot_check,
0,0,,filler_1,21.522866666666665,530,,0,1,,I
0,0,,filler_1,21.522866666666665,391,,1,1,,drove
0,0,,filler_1,21.522866666666665,363,,2,1,,to
0,0,,filler_1,21.522866666666665,346,,3,1,,the
0,0,,filler_1,21.522866666666665,376,,4,1,,mall
0,0,,filler_1,21.522866666666665,359,,5,1,,yesterday.
0,0,,filler_1,21.522866666666665,667,,6,1,,I
0,0,,filler_1,21.522866666666665,420,,7,1,,stayed
0,0,,filler_1,21.522866666666665,716,,8,1,,in
0,0,,filler_1,21.522866666666665,380,,9,1,,the
0,0,,filler_1,21.522866666666665,386,,10,1,,Apple
0,0,,filler_1,21.522866666666665,391,,11,1,,store
0,0,,filler_1,21.522866666666665,375,,12,1,,for
0,0,,filler_1,21.522866666666665,388,,13,1,,one
0,0,,filler_1,21.522866666666665,1409,,14,1,,hour
0,0,,filler_1,21.522866666666665,506,,15,1,,while
0,0,,filler_1,21.522866666666665,681,,16,1,,looking
0,0,,filler_1,21.522866666666665,443,,17,1,,at
0,0,,filler_1,21.522866666666665,384,,18,1,,a
0,0,,filler_1,21.522866666666665,411,,19,1,,new
0,0,,filler_1,21.522866666666665,417,,20,1,,iMac
0,0,,filler_1,21.522866666666665,370,,21,1,,before
0,0,,filler_1,21.522866666666665,419,,22,1,,stopping
0,0,,filler_1,21.522866666666665,421,,23,1,,at
0,0,,filler_1,21.522866666666665,707,,24,1,,JC
0,0,,filler_1,21.522866666666665,503,,25,1,,Penny's
0,0,,filler_1,21.522866666666665,446,,26,1,,on
0,0,,filler_1,21.522866666666665,377,,27,1,,the
0,0,,filler_1,21.522866666666665,411,,28,1,,way
0,0,,filler_1,21.522866666666665,449,,29,1,,home.
0,1,,filler_64,21.522866666666665,580,,0,1,,As
0,1,,filler_64,21.522866666666665,461,,1,1,,the
0,1,,filler_64,21.522866666666665,430,,2,1,,editor
0,1,,filler_64,21.522866666666665,416,,3,1,,of
0,1,,filler_64,21.522866666666665,445,,4,1,,the
0,1,,filler_64,21.522866666666665,338,,5,1,,"newspaper,"
0,1,,filler_64,21.522866666666665,424,,6,1,,I
0,1,,filler_64,21.522866666666665,373,,7,1,,have
0,1,,filler_64,21.522866666666665,396,,8,1,,to
0,1,,filler_64,21.522866666666665,365,,9,1,,make
0,1,,filler_64,21.522866666666665,349,,10,1,,sure
0,1,,filler_64,21.522866666666665,344,,11,1,,that
0,1,,filler_64,21.522866666666665,538,,12,1,,the
0,1,,filler_64,21.522866666666665,414,,13,1,,paper
0,1,,filler_64,21.522866666666665,375,,14,1,,does
0,1,,filler_64,21.522866666666665,351,,15,1,,not
0,1,,filler_64,21.522866666666665,557,,16,1,,publish
0,1,,filler_64,21.522866666666665,467,,17,1,,anything
0,1,,filler_64,21.522866666666665,372,,18,1,,that
0,1,,filler_64,21.522866666666665,398,,19,1,,is
0,1,,filler_64,21.522866666666665,438,,20,1,,offensive.
0,1,,filler_64,21.522866666666665,383,,21,1,,"Unfortunately,"
0,1,,filler_64,21.522866666666665,375,,22,1,,a
0,1,,filler_64,21.522866666666665,321,,23,1,,disgruntled
0,1,,filler_64,21.522866666666665,341,,24,1,,writer
